Entity Name,Status,Filename,Source
ABC UNIFIED SCHOOL DISTRICT,Success,ABC_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
ACALANES UNION HIGH SCHOOL DISTRICT,Success,ACALANES_UNION_HIGH_SCHOOL_DISTRICT_Report.pdf,FAC
Acton-Agua Dulce Unified School District,Success,Acton-Agua_Dulce_Unified_School_District_Report.pdf,FAC
Adelanto Elementary School District,Success,Adelanto_Elementary_School_District_Report.pdf,FAC
Alameda County Healthy Homes Department,Success,Alameda_County_Healthy_Homes_Department_Report.pdf,FAC
Alameda County Housing And Community Development Department,Success,Alameda_County_Housing_And_Community_Development_Department_Report.pdf,FAC
ALAMEDA COUNTY TRANSPORTATION COMMISSION,Success,ALAMEDA_COUNTY_TRANSPORTATION_COMMISSION_Report.pdf,FAC
Alameda County Water District,Success,Alameda_County_Water_District_Report.pdf,FAC
"Alameda Health System, A Public Hospital Authority",Success,Alameda_Health_System_A_Public_Hospital_Authority_Report.pdf,FAC
Albany Unified School District,Success,Albany_Unified_School_District_Report.pdf,FAC
Alhambra Unified School District,Success,Alhambra_Unified_School_District_Report.pdf,FAC
Alisal Union School District,Success,Alisal_Union_School_District_Report.pdf,FAC
Allan Hancock Joint Community College District,Success,Allan_Hancock_Joint_Community_College_District_Report.pdf,FAC
ALPAUGH UNIFIED SCHOOL DISTRICT,Success,ALPAUGH_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Alpine County Unified School District,Success,Alpine_County_Unified_School_District_Report.pdf,FAC
Alpine Union School District,Success,Alpine_Union_School_District_Report.pdf,FAC
Alta Loma School District,Success,Alta_Loma_School_District_Report.pdf,FAC
Alum Rock Union Elementary School District,Success,Alum_Rock_Union_Elementary_School_District_Report.pdf,FAC
Alview-Dairyland Union School District,Success,Alview-Dairyland_Union_School_District_Report.pdf,FAC
Amador County Unified School District,Success,Amador_County_Unified_School_District_Report.pdf,FAC
AMADOR TUOLUMNE COMMUNITY ACTION AGENCY,Success,AMADOR_TUOLUMNE_COMMUNITY_ACTION_AGENCY_Report.pdf,FAC
Amador Water Agency,Success,Amador_Water_Agency_Report.pdf,FAC
American Valley Community Service District,Success,American_Valley_Community_Service_District_Report.pdf,FAC
Anaheim Elementary School District,Success,Anaheim_Elementary_School_District_Report.pdf,FAC
ANAHEIM UNION HIGH SCHOOL DISTRICT,Success,ANAHEIM_UNION_HIGH_SCHOOL_DISTRICT_Report.pdf,FAC
Anderson Union High School District,Success,Anderson_Union_High_School_District_Report.pdf,FAC
ANDERSON VALLEY UNIFIED SCHOOL DISTRICT,Success,ANDERSON_VALLEY_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Antelope Valley Community College District,Success,Antelope_Valley_Community_College_District_Report.pdf,FAC
Antelope Valley Healthcare District,Success,Antelope_Valley_Healthcare_District_Report.pdf,FAC
ANTELOPE VALLEY TRANSIT AUTHORITY,Success,ANTELOPE_VALLEY_TRANSIT_AUTHORITY_Report.pdf,FAC
ANTELOPE VALLEY UNION HIGH SCHOOL DISTRICT,Success,ANTELOPE_VALLEY_UNION_HIGH_SCHOOL_DISTRICT_Report.pdf,FAC
Antioch Unified School District,Success,Antioch_Unified_School_District_Report.pdf,FAC
APPLE VALLEY UNIFIED SCHOOL DISTRICT,Success,APPLE_VALLEY_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
ARCADIA UNIFIED SCHOOL DISTRICT,Success,ARCADIA_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Arcohe Union School District,Success,Arcohe_Union_School_District_Report.pdf,FAC
AREA 12 AGENCY ON AGING,Success,AREA_12_AGENCY_ON_AGING_Report.pdf,FAC
Area Housing Authority of the County of Ventura,Success,Area_Housing_Authority_of_the_County_of_Ventura_Report.pdf,FAC
ARMONA COMMUNITY SERVICES DISTRICT,Success,ARMONA_COMMUNITY_SERVICES_DISTRICT_Report.pdf,FAC
Armona Union Elementary School District,Success,Armona_Union_Elementary_School_District_Report.pdf,FAC
AROMAS-SAN JUAN UNIFIED SCHOOL DISTRICT,Success,AROMAS-SAN_JUAN_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Arvin-Edison Water Storage District,Success,Arvin-Edison_Water_Storage_District_Report.pdf,FAC
Atascadero Unified School District,Success,Atascadero_Unified_School_District_Report.pdf,FAC
Atwater Elementary School District,Success,Atwater_Elementary_School_District_Report.pdf,FAC
Auburn Union School District,Success,Auburn_Union_School_District_Report.pdf,FAC
AZUSA UNIFIED SCHOOL DISTRICT,Success,AZUSA_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Bakersfield City School District,Success,Bakersfield_City_School_District_Report.pdf,FAC
BALDWIN PARK UNIFIED SCHOOL DISTRICT,Success,BALDWIN_PARK_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Banta Unified School District,Success,Banta_Unified_School_District_Report.pdf,FAC
Barstow Community College District,Success,Barstow_Community_College_District_Report.pdf,FAC
Barstow Unified School District,Success,Barstow_Unified_School_District_Report.pdf,FAC
Bass Lake Joint Union Elementary School District,Success,Bass_Lake_Joint_Union_Elementary_School_District_Report.pdf,FAC
Bassett Unified School District,Success,Bassett_Unified_School_District_Report.pdf,FAC
BAY AREA AIR QUALITY MANAGEMENT DISTRICT,Success,BAY_AREA_AIR_QUALITY_MANAGEMENT_DISTRICT_Report.pdf,FAC
BEAR VALLEY UNIFIED SCHOOL DISTRICT,Success,BEAR_VALLEY_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
BEAUMONT CHERRY VALLEY WATER DISTRICT,Success,BEAUMONT_CHERRY_VALLEY_WATER_DISTRICT_Report.pdf,FAC
Beaumont Unified School District,Success,Beaumont_Unified_School_District_Report.pdf,FAC
Bellevue Union School District,Success,Bellevue_Union_School_District_Report.pdf,FAC
BELLFLOWER UNIFIED SCHOOL DISTRICT,Success,BELLFLOWER_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
