filename,entity_name,total_revenue,page_number,is_consolidated,status
Alameda_County_Transportation_Commission_Report.pdf,Alameda_County_Transportation_Commission_Report," $633,397,474 ",33,No,success
Amador_Tuolumne_Community_Action_Agency_Report.pdf,Amador_Tuolumne_Community_Action_Agency_Report," $1,322,932,641 ",16,No,success
Bay_Area_Air_Quality_Management_District_Report.pdf,Bay_Area_Air_Quality_Management_District_Report," $260,322,583 ",12,No,success
Beach_Cities_Health_District_Report.pdf,Beach_Cities_Health_District_Report," $15,299,852 ",113,No,success
Contra_Costa_Transportation_Authority_Report.pdf,Contra_Costa_Transportation_Authority_Report," $137,110,252 ",127,No,success
Desert_Recreation_District_Report.pdf,Desert_Recreation_District_Report," $18,289,065 ",10,No,success
First_5_Yolo_Children_and_Families_Commission_Report.pdf,First_5_Yolo_Children_and_Families_Commission_Report," $5,135,761 ",22,No,success
Golden_Sierra_Job_Training_Agency_Report.pdf,Golden_Sierra_Job_Training_Agency_Report," $7,824,280 ",35,No,success
Los_Angeles_Homeless_Services_Authority_Report.pdf,Los_Angeles_Homeless_Services_Authority_Report," $730,006,630 ",10,No,success
Menlo_Park_Fire_Protection_District_Report.pdf,Menlo_Park_Fire_Protection_District_Report," $93,019,357 ",56,No,success
Metropolitan_Transportation_Commission_Report.pdf,Metropolitan_Transportation_Commission_Report," $1,623,352 ",22,No,success
Napa_Valley_Transportation_Authority_Report.pdf,Napa_Valley_Transportation_Authority_Report," $29,512,100 ",66,Yes,success
North_Central_Fire_Protection_District_Report.pdf,North_Central_Fire_Protection_District_Report," $14,317,749 ",17,No,success
Orange_County_Fire_Authority_Report.pdf,Orange_County_Fire_Authority_Report," $341,557,593 ",179,Yes,success
Orange_County_Transportation_Authority_Report.pdf,Orange_County_Transportation_Authority_Report,,,No,success
Riverside_County_Transportation_Commission_Report.pdf,Riverside_County_Transportation_Commission_Report," $1,474,610,098 ",42,Yes,success
Sacramento_Metropolitan_Air_Quality_Management_District_Report.pdf,Sacramento_Metropolitan_Air_Quality_Management_District_Report," $107,500,542 ",55,No,success
Sacramento_Metropolitan_Fire_District_Report.pdf,Sacramento_Metropolitan_Fire_District_Report," $309,870,176 ",56,No,success
Santa_Clara_Valley_Water_District_Report.pdf,Santa_Clara_Valley_Water_District_Report," $556,122 ",30,No,success
San_Bernardino_County_Transportation_Authority_Report.pdf,San_Bernardino_County_Transportation_Authority_Report," $25,180 ",75,No,success
San_Francisco_County_Transportation_Authority_Report.pdf,San_Francisco_County_Transportation_Authority_Report," $173,458,377 ",43,No,success
San_Joaquin_Regional_Rail_Commission_Report.pdf,San_Joaquin_Regional_Rail_Commission_Report,,,No,success
San_Joaquin_Valley_Unified_Air_Pollution_Control_District_Report.pdf,San_Joaquin_Valley_Unified_Air_Pollution_Control_District_Report," $951,984,266 ",50,No,success
Sites_Project_Authority_Report.pdf,Sites_Project_Authority_Report," $38,640,480 ",28,No,success
Solano_Transportation_Authority_Report.pdf,Solano_Transportation_Authority_Report," $68,578,263 ",88,No,success
Sonoma_County_Transportation_Authority_Report.pdf,Sonoma_County_Transportation_Authority_Report," $44,511,980 ",10,No,success
Sonoma_County_Water_Agency_Report.pdf,Sonoma_County_Water_Agency_Report," $39,761,242 ",64,Yes,success
Sonoma_Resource_Conservation_District_Report.pdf,Sonoma_Resource_Conservation_District_Report," $100,884,445 ",50,No,success
South_Coast_Air_Quality_Management_District_Report.pdf,South_Coast_Air_Quality_Management_District_Report," $1,371,879,374 ",37,No,success
Transportation_Authority_of_Marin_Report.pdf,Transportation_Authority_of_Marin_Report," $44,792,903 ",80,No,success
Ventura_County_Transportation_Commission_Report.pdf,Ventura_County_Transportation_Commission_Report," $21,270,405 ",117,No,success
Western_Riverside_County_Regional_Conservation_Authority_Report.pdf,Western_Riverside_County_Regional_Conservation_Authority_Report,,,No,success
