filename,entity_name,total_revenue,page_number,is_consolidated,status
ABAG_Comp_Pool_Report.pdf,ABAG_Comp_Pool_Report,2667925.0,11,No,success
ABAG_Finance_Authority_for_Nonprofit_Corporation_Report.pdf,ABAG_Finance_Authority_for_Nonprofit_Corporation_Report,725133.0,11,No,success
ABAG_Publicly_Owned_Energy_Resources_(ABAG_Power)_Report.pdf,ABAG_Publicly_Owned_Energy_Resources_(ABAG_Power)_Report,10493118.0,11,No,success
ABAG_PUB_OWNED_ENERGY_RES_(ABAG_POWER)_Report.pdf,"Housing
Authority of the City of San Diego",,,No,success
Alameda_-_Contra_Costa_Transit_Financing_Corporation_Report.pdf,Alameda_-_Contra_Costa_Transit_Financing_Corporation_Report,3669149.0,127,No,success
Alameda_Alliance_Joint_Powers_Authority_Report.pdf,Alameda_Alliance_Joint_Powers_Authority_Report,2123.0,310,No,success
Alameda_County_Abandoned_Vehicle_Abatement_Authority_Report.pdf,Alameda_County_Abandoned_Vehicle_Abatement_Authority_Report,261782686.0,56,No,success
Alameda_County_Board_of_Education_Public_Facilities_Corporation_Report.pdf,The Oakland Housing Authority,762682.0,63,No,success
Alameda_County_Fire_Department_Report.pdf,Alameda_County_Fire_Department_Report,,,No,success
Alameda_County_Flood_Control_and_Water_Conservation_District_Report.pdf,Alameda County Housing Authority,5085457624.0,338,No,success
ALAMEDA_COUNTY_HOUSING_AUTHORITY_Report.pdf,Berkeley Housing Authority,,,No,success
Alameda_County_Joint_Powers_Authority_Report.pdf,Alameda_County_Joint_Powers_Authority_Report,629141342.0,135,No,success
Alameda_County_Mosquito_Abatement_District_Report.pdf,Alameda_County_Mosquito_Abatement_District_Report,6605664.0,24,No,success
Alameda_County_Public_Facilities_Corporation_Report.pdf,Alameda_County_Public_Facilities_Corporation_Report,3463034.0,253,No,success
Alameda_County_Resource_Conservation_District_Report.pdf,Alameda_County_Resource_Conservation_District_Report,23439368.0,38,No,success
Alameda_County_Schools_Insurance_Group_Report.pdf,Benicia City Housing Authority,7011552.0,72,No,success
Alameda_County_Transportation_Commission_Report.pdf,Alameda_County_Transportation_Commission_Report,633397474.0,33,No,success
Alameda_County_Waste_Management_Authority_and_Source_Reduction_Recycling_Board_Report.pdf,Alameda_County_Waste_Management_Authority_and_Source_Reduction_Recycling_Board_Report,23439368.0,38,No,success
ALAMEDA_COUNTY_WASTE_MANAGEMENT_AUTHORITY_Report.pdf,ALAMEDA_COUNTY_WASTE_MANAGEMENT_AUTHORITY_Report,23439368.0,38,No,success
Alameda_County_Water_District_Report.pdf,Alameda_County_Water_District_Report,146900.0,111,No,success
